's 're
transliterates transliterate
translocates translocate
transmetallates transmetallate
transmethylates transmethylate
transmigrates transmigrate
transmits transmit
transmogrifies transmogrify
transmutes transmute
transparentizes transparentize
transpierces transpierce
transpires transpire
transplaces transplace
transplants transplant
transports transport
transposes transpose
transprints transprint
transsexes transsex
transshapes transshape
transshifts transshift
transships transship
transubstantiates transubstantiate
transudes transude
transvalues transvalue
transvests transvest
trants trant
trapans trapan
trapes trape
trapezes trapeze
traps trap
trash-talks trash-talk
trashes trash
traumatises traumatise
traumatizes traumatize
traunches traunch
travails travail
travels travel
traverses traverse
travesties travesty
trawls trawl
trays tray
treadles treadle
treads tread
treasures treasure
treats treat
trebles treble
treddles treddle
treebanks treebank
treeifies treeify
trees tree
treks trek
trellises trellis
trembles tremble
tremors tremor
tremps tremp
trench-ploughs trench-plough
trench-plows trench-plow
trenches trench
trends trend
trepans trepan
trephines trephine
trespasses trespass
tresses tress
triages triage
trials trial
triangulates triangulate
tribalizes tribalize
tribotests tribotest
tribulates tribulate
trices trice
trichinizes trichinize
trichotomizes trichotomize
trick-or-treats trick-or-treat
trickles trickle
tricks trick
triculates triculate
tricycles tricycle
tries try
trifles trifle
triforces triforce
trifurcates trifurcate
triggers trigger
trigs trig
trikes trike
trills trill
trimerises trimerise
trimerizes trimerize
trimethylates trimethylate
trims trim
trines trine
trinketizes trinketize
trinkets trinket
trinkles trinkle
triphthongizes triphthongize
triple-clicks triple-click
triples triple
triplicates triplicate
tripods tripod
trips trip
trisects trisect
tristitiates tristitiate
trists trist
triturates triturate
triumphs triumph
trivialises trivialise
trivializes trivialize
troaks troak
troats troat
trogs trog
trojan-horses trojan-horse
trokes troke
trolleys trolley
trollops trollop
trolls troll
tromps tromp
troops troop
tropes trope
tropicalizes tropicalize
tropifies tropify
tropologizes tropologize
troshes trosh
trothplights trothplight
trots trot
troubles trouble
troubleshoots troubleshoot
troughs trough
trounces trounce
troupes troupe
trouts trout
trowels trowel
truants truant
truckles truckle
trucks truck
trudges trudge
trues true
trumpets trumpet
trumps trump
truncates truncate
truncheons truncheon
trundles trundle
trusses truss
trusts trust
trypsinises trypsinise
trypsinizes trypsinize
trysts tryst
tszujes tszuj
tubes tube
tubs tub
tubthumps tubthump
tubulates tubulate
tuckers tucker
tucks tuck
tufts tuft
tugs tug
tumbles tumble
tumefies tumefy
tumps tump
tumults tumult
tunes tune
tunnels tunnel
tuns tun
tups tup
turbanizes turbanize
turbinates turbinate
turbocharges turbocharge
turfs turf
turgesces turgesce
turkey-trots turkey-trot
turnkeys turnkey
turnpikes turnpike
turns turn
turntables turntable
turpentines turpentine
turtles turtle
tushes tush
tusks tusk
tussles tussle
tut-tuts tut-tut
tutorizes tutorize
tutors tutor
tutoyers tutoyer
tutoys tutoy
tuts tut
tuxies tuxy
twaddles twaddle
twangles twangle
twangs twang
twanks twank
twats twat
tweags tweag
tweaks tweak
tweedles tweedle
tweens tween
tweeps tweep
tweets tweet
tweezers tweezer
tweezes tweeze
twerks twerk
twiddles twiddle
twidles twidle
twigs twig
twilights twilight
twills twill
twines twine
twinges twinge
twinkles twinkle
twinks twink
twins twin
twires twire
twirls twirl
twists twist
twitches twitch
twits twit
twitters twitter
twizzles twizzle
two-times two-time
twocs twoc
twonks twonk
tyeks tyek
tylerizes tylerize
tyndallizes tyndallize
typecasts typecast
types type
typesets typeset
typewrites typewrite
typifies typify
tyrannises tyrannise
tyrannizes tyrannize
tyrants tyrant
tyres tyre
tölts tölt
ubicates ubicate
ubiquitinates ubiquitinate
ubiquitinylates ubiquitinylate
ubiquitylates ubiquitylate
uglifies uglify
ugs ug
ukrainianises ukrainianise
ukrainianizes ukrainianize
ulcerates ulcerate
ultracentrifuges ultracentrifuge
ultracrepidates ultracrepidate
ultrasimplifies ultrasimplify
ululates ululate
umbecasts umbecast
umbelappes umbelappe
umbelaps umbelap
umbeschews umbeschew
umbethinks umbethink
umbrages umbrage
umbraids umbraid
umcasts umcast
umlauts umlaut
umounts umount
umpires umpire
umps ump
ums um
un-breaks un-break
unabandons unabandon
unabbreviates unabbreviate
unabolishes unabolish
unaborts unabort
unabsolves unabsolve
unaccents unaccent
unaccepts unaccept
unacknowledges unacknowledge
unadds unadd
unaffiliates unaffiliate
unalienates unalienate
unalters unalter
unanchors unanchor
unapparels unapparel
unappropriates unappropriate
unarchives unarchive
unarcs unarc
unarms unarm
unassembles unassemble
unasserts unassert
unattires unattire
unauthorizes unauthorize
unbags unbag
unbalances unbalance
unbales unbale
unballasts unballast
unbandages unbandage
unbanks unbank
unbans unban
unbarks unbark
unbarricades unbarricade
unbars unbar
unbeaches unbeach
unbears unbear
unbeasts unbeast
unbeds unbed
unbeguiles unbeguile
unbelts unbelt
unbends unbend
unbenumbs unbenumb
unberths unberth
unbeseems unbeseem
unbethinks unbethink
unbewitches unbewitch
unbids unbid
unbinds unbind
unbishops unbishop
unbits unbit
unblesses unbless
unblindfolds unblindfold
unblinds unblind
unblocks unblock
unblouses unblouse
unblues unblue
unblurs unblur
unbodies unbody
unbolds unbold
unbolts unbolt
unbones unbone
unbonnets unbonnet
unbooks unbook
unboots unboot
unbores unbore
unbosoms unbosom
unbottles unbottle
unbowels unbowel
unbows unbow
unboxes unbox
unboys unboy
unbraces unbrace
unbrackets unbracket
unbraids unbraid
unbrakes unbrake
unbreaks unbreak
unbreeches unbreech
unbreeds unbreed
unbricks unbrick
unbridles unbridle
unbrutalizes unbrutalize
unbuckles unbuckle
unbuilds unbuild
unbundles unbundle
unbungs unbung
unburdens unburden
unburies unbury
unburrows unburrow
unbuttons unbutton
uncages uncage
uncamps uncamp
uncanonizes uncanonize
uncapes uncape
uncapitalises uncapitalise
uncapitalizes uncapitalize
uncaps uncap
uncarts uncart
uncases uncase
uncasks uncask
uncastles uncastle
uncenters uncenter
uncentres uncentre
uncenturies uncentury
unchains unchain
unchambers unchamber
uncharges uncharge
uncharms uncharm
uncharnels uncharnel
unchecks uncheck
unchilds unchild
unchills unchill
unchocks unchock
unchokes unchoke
unchooses unchoose
unchristens unchristen
unchristianizes unchristianize
unchurches unchurch
uncinches uncinch
unciphers uncipher
unclamps unclamp
unclasps unclasp
unclenches unclench
unclews unclew
unclicks unclick
unclinches unclinch
unclips unclip
uncloaks uncloak
unclogs unclog
uncloisters uncloister
uncloses unclose
unclothes unclothe
unclouds uncloud
unclues unclue
unclusters uncluster
unclutches unclutch
unclutters unclutter
uncoaches uncoach
uncocks uncock
uncoifs uncoif
uncoils uncoil
uncollapses uncollapse
uncollars uncollar
uncombines uncombine
uncomments uncomment
uncomplicates uncomplicate
uncompresses uncompress
unconcedes unconcede
unconfigures unconfigure
unconfounds unconfound
unconfuses unconfuse
uncongeals uncongeal
unconsecrates unconsecrate
unconstrains unconstrain
uncooks uncook
uncoops uncoop
uncords uncord
uncorks uncork
uncouples uncouple
uncovers uncover
uncowls uncowl
uncrates uncrate
uncreates uncreate
uncredits uncredit
uncrinkles uncrinkle
uncrooks uncrook
uncrosses uncross
uncrouches uncrouch
uncrowns uncrown
uncrumples uncrumple
uncrunches uncrunch
uncrystallizes uncrystallize
uncts unct
uncuffs uncuff
uncunts uncunt
uncups uncup
uncurbs uncurb
uncurls uncurl
uncurries uncurry
uncurses uncurse
uncurtains uncurtain
undams undam
undeafens undeafen
undeafs undeaf
undeceives undeceive
undecides undecide
undecks undeck
undeclares undeclare
undecorates undecorate
undefines undefine
undeifies undeify
undeletes undelete
undemocratises undemocratise
undemocratizes undemocratize
under-approximates under-approximate
underaccommodates underaccommodate
underachieves underachieve
underacts underact
underapplies underapply
underappreciates underappreciate
underapproximates underapproximate
underbakes underbake
underbears underbear
underbets underbet
underbids underbid
underbills underbill
underbinds underbind
underboils underboil
underbooks underbook
underbraces underbrace
underbrings underbring
underbudgets underbudget
underbuilds underbuild
underburns underburn
underbuys underbuy
undercalculates undercalculate
undercapitalizes undercapitalize
undercasts undercast
undercharges undercharge
underclaims underclaim
underclocks underclock
undercoats undercoat
undercomes undercome
undercompensates undercompensate
underconforms underconform
undercooks undercook
undercools undercool
undercounts undercount
undercranks undercrank
undercrests undercrest
undercuts undercut
underdelivers underdeliver
underdetermines underdetermine
underdevelops underdevelop
underdigs underdig
underdoes underdo
underdopes underdope
underdoses underdose
underdrags underdrag
underdrains underdrain
underdraws underdraw
underdresses underdress
underearns underearn
undereats undereat
underemphasizes underemphasize
underenforces underenforce
underestimates underestimate
underexaggerates underexaggerate
underexercises underexercise
underexplains underexplain
underexposes underexpose
underextends underextend
underfeeds underfeed
underfills underfill
underfinances underfinance
underfits underfit
underflows underflow
underfunds underfund
underfurrows underfurrow
undergeneralizes undergeneralize
undergirds undergird
undergoes undergo
undergrounds underground
undergrows undergrow
underguesses underguess
underguesstimates underguesstimate
underhangs underhang
underheats underheat
underholds underhold
underholes underhole
underhydrates underhydrate
underinflates underinflate
underinsulates underinsulate
underinsures underinsure
underinvests underinvest
underkeeps underkeep
underlaps underlap
underlays underlay
underleads underlead
underlets underlet
underlies underlie
underlines underline
underlives underlive
underloads underload
underlooks underlook
undermaintains undermaintain
undermanages undermanage
undermilks undermilk
undermines undermine
undermixes undermix
undernourishes undernourish
underoils underoil
underorders underorder
underpackages underpackage
underpays underpay
underpeeps underpeep
underperceives underperceive
underperforms underperform
underpins underpin
underplants underplant
underplates underplate
underplays underplay
underpours underpour
underpowers underpower
underpraises underpraise
underpredicts underpredict
underprescribes underprescribe
underprices underprice
underprioritizes underprioritize
underprizes underprize
underprocesses underprocess
underproduces underproduce
underpromises underpromise
underpromotes underpromote
underprops underprop
underprovisions underprovision
underpulls underpull
underpushes underpush
underputs underput
underquotes underquote
underrates underrate
underreaches underreach
underreacts underreact
underreckons underreckon
underrecognizes underrecognize
underrecruits underrecruit
underregulates underregulate
underreports underreport
underrepresents underrepresent
underrotates underrotate
underruffs underruff
underruns underrun
undersalts undersalt
undersamples undersample
undersaves undersave
underscores underscore
underseals underseal
underseeks underseek
undersees undersee
undersells undersell
undersends undersend
underserves underserve
undersets underset
undershoots undershoot
undersigns undersign
undersleeps undersleep
undersows undersow
underspecifies underspecify
underspends underspend
understaffs understaff
understands understand
understates understate
understeers understeer
understimulates understimulate
understitches understitch
understocks understock
understrokes understroke
understudies understudy
undersupplies undersupply
undersupports undersupport
undertakes undertake
underteaches underteach
underthinks underthink
underthrows underthrow
underthrusts underthrust
undertips undertip
undertows undertow
undertreats undertreat
undertrumps undertrump
underuses underuse
underutilises underutilise
underutilizes underutilize
undervalues undervalue
underwaters underwater
underweens underween
underweights underweight
underwhelms underwhelm
underwinds underwind
underwires underwire
underwises underwise
underworks underwork
underwrites underwrite
undeserves undeserve
undights undight
undignifies undignify
undislocates undislocate
undiverts undivert
undocks undock
undoes undo
undogs undog
undomesticates undomesticate
undoubles undouble
undrapes undrape
undraws undraw
undreams undream
undresses undress
undukes unduke
undulates undulate
undulls undull
undumpishes undumpish
undusts undust
unearths unearth
unedges unedge
unelects unelect
unembeds unembed
unencodes unencode
unencrypts unencrypt
unencumbers unencumber
unenrolls unenroll
unentangles unentangle
unequips unequip
unerases unerase
unescapes unescape
unestablishes unestablish
unexecutes unexecute
unfaces unface
unfangs unfang
unfastens unfasten
unfasts unfast
unfavorites unfavorite
unfeathers unfeather
unfellows unfellow
unfences unfence
